LOC_PID,overlap_area,LOC_NAME,area,sa2,detail
loc8297291648ae,"[(206031501, 0.00026626662672839225), (206031502, 0.000363327597000661)]",Essendon,"[206031502, 0.5770821638875446]",206031502,"[[206031501, 0.42291783611245526], [206031502, 0.5770821638875446]]"
loc82b861dfb765,"[(206021112, 0.0005093232471035051), (206021500, 1.582076105450966e-05)]",Thornbury,"[206021112, 0.9698734807810105]",206021112,"[[206021112, 0.9698734807810105], [206021500, 0.030126519218989598]]"
loc82baa1179308,"[(212011552, 0.0016673839854777466), (212011550, 0.0020368769907355244), (212011549, 0.0027192669101708724), (212011551, 0.002287629175616595)]",Pakenham,"[212011549, 0.31215909560771066]",212011549,"[[212011552, 0.19140786621229736], [212011550, 0.2338239313375098], [212011549, 0.31215909560771066], [212011551, 0.2626091068424822]]"
loc82e9519dd9b6,"[(212031562, 0.0008425433002685139), (212031561, 0.0005217928659301056)]",Hampton Park,"[212031562, 0.617548168217258]",212031562,"[[212031562, 0.617548168217258], [212031561, 0.38245183178274206]]"
loc8415ce7f7160,"[(208021426, 0.0001568161017919881), (208021174, 3.3336057737256356e-06)]",McKinnon,"[208021426, 0.9791844404563912]",208021426,"[[208021426, 0.9791844404563912], [208021174, 0.0208155595436087]]"
loc86dc9bf35404,"[(212051567, 0.00037272168915525105), (212051568, 0.0004281299085032271)]",Clayton,"[212051568, 0.5345933126124603]",212051568,"[[212051567, 0.4654066873875397], [212051568, 0.5345933126124603]]"
loc875f8bb64843,"[(213051579, 0.0015269559401488429), (213051590, 0.00010584904985474282)]",Manor Lakes,"[213051579, 0.9351734894841849]",213051579,"[[213051579, 0.9351734894841849], [213051590, 0.0648265105158151]]"
loc89cee4954cc2,"[(208021427, 0.00046223408091674906), (208021426, 0.0004581039110942631)]",Bentleigh East,"[208021427, 0.5022438331669115]",208021427,"[[208021427, 0.5022438331669115], [208021426, 0.49775616683308854]]"
loc8c9f2867857c,"[(213021346, 2.8001670500502363e-06), (213021344, 0.0005653029146574773)]",Williamstown,"[213021344, 0.9950710229530285]",213021344,"[[213021346, 0.004928977046971603], [213021344, 0.9950710229530285]]"
loc8e5a2b16aaaa,"[(205041494, 0.0014564059600559237), (205041493, 0.004240697193436111)]",Traralgon,"[205041493, 0.7443602615544672]",205041493,"[[205041494, 0.2556397384455328], [205041493, 0.7443602615544672]]"
loc8fef59c1c585,"[(210051250, 1.486478652585071e-05), (210031439, 0.0003466293148703247)]",Tullamarine,"[210031439, 0.9588795876103112]",210031439,"[[210051250, 0.041120412389688804], [210031439, 0.9588795876103112]]"
loc913bf4728c4e,"[(207011152, 0.0007426865773635601), (207011149, 2.0956239267624516e-05), (207011150, 1.4560735381386686e-05), (207011155, 1.5024272925431769e-05)]",Camberwell,"[207011152, 0.9362840712522998]",207011152,"[[207011152, 0.9362840712522998], [207011149, 0.026418941203004837], [207011150, 0.018356309402692374], [207011155, 0.01894067814200294]]"
loc92bf5bc798e7,"[(206031115, 0.00011806420467202321), (206041120, 0.00017454548567385196)]",Flemington,"[206041120, 0.5965130049778355]",206041120,"[[206031115, 0.4034869950221644], [206041120, 0.5965130049778355]]"
